Model,HF_WT,HF_MRM,HF_WTR,HF_MRR,MED_WT,MED_MRM,MED_WTR,MED_MRR,UNH_WT,UNH_MRM,UNH_WTR,UNH_MRR,VEG_WT,VEG_MRM,VEG_WTR,VEG_MRR,WES_WT,WES_MRM,WES_WTR,WES_MRR,NOD_WT,NOD_MRM,NOD_WTR,NOD_MRR
Megasphaera_elsdenii_DSM_20460,0.0292193126763542,0.0292193126693291,504,488,0.0453790328000601,0.0453790327922178,493,444,0.0156251312024289,0.015625131194351,471,464,0.00970315520645966,0.00970315520973997,466,462,6.72802626621442,6.72802626621442,606,474,67.5782721028515,59.7524152698055,512,471
Parabacteroides_distasonis_ATCC_8503,0.0318317653005746,0.0318317653005746,536,505,0.0318317653005746,0.0318317653005746,537,505,0.0318317653005746,0.0318317653005746,536,493,0.0318317653005746,0.0318317653005746,543,501,0.0218960201793722,0.0167888282863063,540,514,68.9191698352556,52.1372418095652,578,534
Parabacteroides_johnsonii_DSM_18315,0.0318372135254822,0.031837213525569,392,357,0.031837213525569,0.031837213525569,388,354,0.0236680868564973,0.0236680868564973,389,352,0.03183721352554,0.031837213525569,403,360,0.0187378204167291,0.0187378204167291,391,380,55.2485522420752,36.8323681613835,403,378
Phascolarctobacterium_succinatutens_YIT_12067,0.00426734091989257,0.00136240116098246,363,352,0.00426734092012544,0.0013854128654068,363,352,0.00426734092012544,0.00198010037928785,363,352,0.00426072909979865,0.00102536746491331,367,353,0.000496007865426117,0.000217414918087381,364,356,17.6835001503659,13.2837176325095,367,349
Prevotella_ruminicola_23,0.0318317653005746,0.0318317653005746,491,471,0.0318317653005746,0.0318317653005746,486,471,0.0318317653005746,0.0318317653005746,491,473,0.0318317653005746,0.0318317653005746,491,473,0.0191140850928486,0.0191140850928486,519,458,78.1186600715297,60.3821275393563,494,478
Pseudoflavonifractor_capillosus_strain_ATCC_29799,0.011585730235656,0.00566596635322544,261,244,0.0179932101141427,0.00566596635322549,267,245,0.00619551038086434,0.00566596635322549,251,245,0.00384739161738448,0.00384739161868508,245,240,0.0187378204167291,0.0187378204167291,278,255,38.9013511528493,19.4506755764247,249,242
Roseburia_intestinalis_L1_82,0.0497863390498748,0.0497863390497895,268,251,0.052306310899121,0.0523063148548233,270,252,0.0236680868564973,0.00619551037766119,264,252,0.0238785388910132,0.00384739161868507,267,252,0.0281518444733275,0.0281518444728149,289,251,66.0529706561978,13.7684571756137,267,252
Roseburia_inulinivorans_DSM_16841,0.00977810277623053,0.00977810277583911,258,247,0.00977810277569726,0.00977810277583911,258,247,0.00977810277621349,0.00977810277583911,263,250,0.00977810277514497,0.00977810277583911,258,247,0.0288306899511817,0.0288306899511622,273,258,66.8005126271339,54.8360471335138,274,261
Ruminococcus_bromii_L2_63,0.0514046990892648,0.0514046990892577,281,266,0.0540065854117137,0.0540065854117592,283,269,0.0236680868564973,0.0236680868564973,282,271,0.0246547372190421,0.00953856217046612,280,274,0.0094467883110086,0.00477692078035595,287,281,33.1767670273325,16.7118639305199,278,270
Ruminococcus_callidus_ATCC_2776001,0.0435287390658256,0.0128005793644625,405,386,0.0435287390656795,0.0128005793644625,405,385,0.0232796651633097,0.0232796651633097,399,386,0.0287358737251662,0.0104159479662575,402,391,0.0338784484093122,0.0338784484093439,425,393,36.0126021929674,23.0133228150725,413,401
Ruminococcus_torques_ATCC_27756,0.0499081362164513,0.0499081362176091,294,255,0.0524342729182856,0.0524342729192482,294,258,0.0236680868564973,0.00619551037766116,287,269,0.0239369552842489,0.00384739161868509,289,264,0.0187378204167291,0.0187378204167291,293,274,47.5189086359844,38.8972839384141,278,262
Shigella_flexneri_2002017,0.185783282412536,0.185783282412536,567,480,0.106931496562196,0.053465748281098,566,480,0.0596911214264911,0.0596911214264911,558,482,0.0578298124806704,0.0578298124806704,558,482,6.72802626621454,6.72802626621454,650,494,113.168464760794,70.1404479470609,549,507
Streptococcus_salivarius_JIM8777,0.0113955945063836,0.0113955945036436,388,363,0.0176979199548328,0.017697919951774,387,364,0.00609383462452259,0.00609383462137198,385,359,0.00378425131348109,0.00378425130760096,384,368,0.0193080012357121,0.0176765591290802,406,370,44.8150815122235,29.876721008149,408,393
Subdoligranulum_variabile_DSM_15176,0.0115857302429349,0.0028452092366872,250,237,0.0179932101141428,0.00284520923668724,261,238,0.00619551037358549,0.00619551037766117,240,233,0.00384739163194217,0.00384739161868509,240,233,0.0569041847333836,0.0569041847337457,288,239,60.2615510033197,54.7332364309462,262,246
Veillonella_atypica_ACS_049_V_Sch6,0.00134192158878061,0.00134192158878061,494,484,0.0128005793644625,0.0128005793644625,498,478,0.00609383462452259,0,492,0,0.0037842513063217,0.00381309069653591,493,471,0.102675209519706,0.102675209519706,499,470,58.876286205271,37.3611748409729,559,513
